region,type_etablissement,filiere,niveau_etude,moyenne_semestre_1,moyenne_semestre_2,taux_absence,modules_non_valides,participation,bourse,distance_logement_km,acces_internet,activite_professionnelle,historique_redoublement,situation_academique,decrochage
Tanger-Tétouan-Al Hoceïma,FACULTE,DROIT,L1,15.67,14.95,7.7,3,ELEVEE,NON,9.9,OUI,OUI,NON,NORMALE,0
Guelmim-Oued Noun,FACULTE,ECONOMIE,L1,12.92,13.39,22.1,7,FAIBLE,OUI,14.1,NON,OUI,OUI,DIFFICULTE,1
Béni Mellal-Khénifra,ECOLE_INGENIEUR,INFORMATIQUE,L2,9.63,10.21,19.1,2,MOYENNE,OUI,12.6,OUI,NON,NON,NORMALE,0
Guelmim-Oued Noun,FACULTE,ECONOMIE,L2,12.39,12.05,6.6,4,MOYENNE,OUI,5.0,NON,NON,NON,NORMALE,0
Oriental,FACULTE,INGENIERIE,L2,9.7,7.63,11.8,0,MOYENNE,OUI,9.8,OUI,OUI,NON,NORMALE,0
Marrakech-Safi,FACULTE,LETTRES,L2,15.39,15.63,23.0,0,MOYENNE,OUI,12.6,OUI,NON,NON,DIFFICULTE,0
Tanger-Tétouan-Al Hoceïma,ECOLE_INGENIEUR,INGENIERIE,L2,10.55,11.16,6.1,5,MOYENNE,NON,10.5,OUI,OUI,NON,DIFFICULTE,1
Dakhla-Oued Ed-Dahab,IUT,MEDECINE,M1,4.45,2.02,43.5,0,MOYENNE,OUI,5.1,NON,NON,NON,NORMALE,1
Souss-Massa,ECOLE_INGENIEUR,INFORMATIQUE,L2,18.3,20.0,43.2,6,FAIBLE,NON,44.8,OUI,NON,NON,REDOUBLEMENT,1
Casablanca-Settat,FACULTE,DROIT,L2,10.89,10.83,12.2,2,FAIBLE,NON,27.4,NON,NON,NON,NORMALE,1
Tanger-Tétouan-Al Hoceïma,FACULTE,ECONOMIE,L2,12.33,14.07,26.2,3,MOYENNE,NON,16.4,NON,OUI,NON,NORMALE,0
Oriental,ECOLE_INGENIEUR,MEDECINE,L2,6.17,5.9,6.4,1,FAIBLE,OUI,12.0,NON,NON,NON,NORMALE,1
Laâyoune-Sakia El Hamra,ECOLE_INGENIEUR,INFORMATIQUE,L2,15.79,18.08,30.5,7,MOYENNE,NON,12.1,OUI,NON,NON,NORMALE,0
Tanger-Tétouan-Al Hoceïma,UNIVERSITE_PRIVEE,MEDECINE,L2,9.26,10.5,13.3,1,MOYENNE,NON,8.8,OUI,NON,NON,NORMALE,0
Souss-Massa,UNIVERSITE_PRIVEE,ECONOMIE,L2,11.58,9.17,23.5,1,ELEVEE,NON,8.2,OUI,NON,NON,DIFFICULTE,0
Fès-Meknès,IUT,ECONOMIE,M2,9.65,7.73,27.6,7,ELEVEE,NON,13.9,OUI,OUI,NON,REDOUBLEMENT,1
Oriental,FACULTE,ECONOMIE,L3,8.1,7.0,22.0,5,MOYENNE,OUI,43.7,OUI,OUI,NON,DIFFICULTE,1
Dakhla-Oued Ed-Dahab,ECOLE_INGENIEUR,SCIENCES,L3,12.12,10.66,11.0,2,MOYENNE,NON,18.2,OUI,NON,NON,DIFFICULTE,1
Souss-Massa,UNIVERSITE_PUBLIQUE,MEDECINE,M1,12.01,12.01,19.1,1,MOYENNE,NON,0.2,OUI,NON,OUI,DIFFICULTE,1
Fès-Meknès,IUT,SCIENCES,M2,14.26,17.76,3.9,3,ELEVEE,NON,28.1,OUI,NON,NON,NORMALE,0
Tanger-Tétouan-Al Hoceïma,IUT,MEDECINE,M2,8.78,10.52,26.1,7,MOYENNE,OUI,7.0,NON,OUI,NON,DIFFICULTE,1
Laâyoune-Sakia El Hamra,FACULTE,ECONOMIE,L1,11.79,12.31,21.6,1,FAIBLE,OUI,0.0,OUI,OUI,NON,NORMALE,0
Tanger-Tétouan-Al Hoceïma,UNIVERSITE_PRIVEE,INGENIERIE,L2,11.83,10.11,7.4,3,ELEVEE,NON,10.7,NON,NON,OUI,NORMALE,0
Rabat-Salé-Kénitra,ECOLE_INGENIEUR,DROIT,L2,14.68,13.91,9.5,3,FAIBLE,OUI,3.3,OUI,NON,NON,NORMALE,0
Béni Mellal-Khénifra,FACULTE,MEDECINE,M1,12.74,11.67,29.5,7,FAIBLE,NON,3.7,OUI,NON,NON,DIFFICULTE,1
Souss-Massa,IUT,MEDECINE,L3,7.36,6.47,14.6,6,MOYENNE,NON,4.9,NON,OUI,NON,DIFFICULTE,1
Guelmim-Oued Noun,UNIVERSITE_PUBLIQUE,INGENIERIE,L1,6.8,7.03,20.1,3,FAIBLE,OUI,1.7,OUI,OUI,NON,NORMALE,0
Fès-Meknès,FACULTE,INGENIERIE,L2,9.27,10.11,7.8,1,MOYENNE,OUI,5.4,OUI,NON,NON,NORMALE,1
Fès-Meknès,FACULTE,LETTRES,L3,8.92,10.42,39.7,7,MOYENNE,NON,7.4,OUI,NON,NON,NORMALE,1
Marrakech-Safi,ECOLE_INGENIEUR,INFORMATIQUE,L1,14.35,16.2,26.3,0,ELEVEE,OUI,2.6,NON,OUI,NON,DIFFICULTE,0
Dakhla-Oued Ed-Dahab,ECOLE_INGENIEUR,INGENIERIE,L2,14.34,15.82,18.5,7,MOYENNE,NON,9.7,OUI,OUI,NON,REDOUBLEMENT,0
Rabat-Salé-Kénitra,IUT,DROIT,M1,11.84,12.58,29.3,6,ELEVEE,NON,2.8,OUI,NON,NON,NORMALE,1
Drâa-Tafilalet,UNIVERSITE_PUBLIQUE,INGENIERIE,M1,13.38,15.56,34.4,6,MOYENNE,OUI,1.4,OUI,NON,NON,REDOUBLEMENT,1
Casablanca-Settat,ECOLE_INGENIEUR,ECONOMIE,L3,10.73,13.17,16.9,0,MOYENNE,NON,23.4,OUI,NON,NON,NORMALE,0
Dakhla-Oued Ed-Dahab,UNIVERSITE_PRIVEE,INGENIERIE,L3,3.1,2.21,15.2,3,ELEVEE,NON,40.0,OUI,NON,NON,DIFFICULTE,1
Fès-Meknès,ECOLE_INGENIEUR,ECONOMIE,L3,11.27,10.28,40.4,4,MOYENNE,OUI,6.3,NON,NON,NON,REDOUBLEMENT,1
Laâyoune-Sakia El Hamra,FACULTE,INFORMATIQUE,L1,5.62,6.39,42.1,1,FAIBLE,NON,2.6,OUI,NON,OUI,REORIENTATION,1
Fès-Meknès,IUT,MEDECINE,M1,9.97,11.67,7.5,3,MOYENNE,NON,23.1,NON,OUI,OUI,REORIENTATION,0
Laâyoune-Sakia El Hamra,UNIVERSITE_PRIVEE,ECONOMIE,L1,9.81,13.1,18.5,3,MOYENNE,OUI,29.6,OUI,NON,OUI,REDOUBLEMENT,0
Dakhla-Oued Ed-Dahab,ECOLE_INGENIEUR,SCIENCES,M1,10.23,9.78,26.4,3,ELEVEE,NON,0.5,OUI,NON,NON,DIFFICULTE,1
Fès-Meknès,UNIVERSITE_PUBLIQUE,INGENIERIE,L1,9.39,8.6,13.0,4,FAIBLE,OUI,24.1,OUI,NON,NON,NORMALE,0
Béni Mellal-Khénifra,FACULTE,LETTRES,L2,15.3,14.8,25.3,1,MOYENNE,NON,8.0,OUI,OUI,NON,REORIENTATION,0
Souss-Massa,UNIVERSITE_PUBLIQUE,SCIENCES,L2,11.03,11.76,9.9,5,MOYENNE,NON,7.2,OUI,NON,NON,NORMALE,0
Laâyoune-Sakia El Hamra,ECOLE_INGENIEUR,LETTRES,L3,6.79,7.1,12.1,7,ELEVEE,NON,36.9,OUI,NON,NON,NORMALE,1
Oriental,IUT,DROIT,L1,6.32,6.53,23.8,5,MOYENNE,NON,5.0,OUI,NON,NON,REDOUBLEMENT,1
Fès-Meknès,ECOLE_INGENIEUR,SCIENCES,M1,6.51,5.38,29.0,0,MOYENNE,NON,10.6,OUI,NON,NON,DIFFICULTE,1
Fès-Meknès,IUT,SCIENCES,L3,8.18,8.66,9.7,1,FAIBLE,NON,4.6,OUI,NON,OUI,NORMALE,0
Dakhla-Oued Ed-Dahab,UNIVERSITE_PUBLIQUE,SCIENCES,L3,5.14,6.08,1.6,3,ELEVEE,OUI,7.9,OUI,NON,NON,REDOUBLEMENT,0
Laâyoune-Sakia El Hamra,IUT,SCIENCES,L1,7.62,8.84,39.4,3,FAIBLE,NON,2.4,OUI,NON,OUI,REORIENTATION,0
Casablanca-Settat,ECOLE_INGENIEUR,MEDECINE,M2,17.45,17.17,18.3,4,MOYENNE,NON,17.0,OUI,NON,NON,REORIENTATION,0
Souss-Massa,UNIVERSITE_PUBLIQUE,ECONOMIE,M1,9.18,8.25,32.9,5,MOYENNE,NON,3.5,OUI,NON,NON,NORMALE,0
Oriental,ECOLE_INGENIEUR,SCIENCES,L1,7.49,7.63,4.4,3,FAIBLE,NON,7.4,NON,NON,NON,NORMALE,1
Guelmim-Oued Noun,UNIVERSITE_PRIVEE,ECONOMIE,L3,16.45,13.35,12.6,4,FAIBLE,NON,3.6,OUI,NON,NON,NORMALE,1
Laâyoune-Sakia El Hamra,ECOLE_INGENIEUR,INFORMATIQUE,L3,9.11,12.67,13.1,0,FAIBLE,OUI,8.6,OUI,OUI,NON,NORMALE,0
Souss-Massa,ECOLE_INGENIEUR,DROIT,M1,12.7,12.03,19.4,5,MOYENNE,NON,1.3,OUI,NON,NON,DIFFICULTE,0
Béni Mellal-Khénifra,UNIVERSITE_PRIVEE,MEDECINE,L3,9.99,14.82,18.1,7,MOYENNE,NON,23.9,OUI,NON,NON,NORMALE,0
Tanger-Tétouan-Al Hoceïma,ECOLE_INGENIEUR,LETTRES,L2,11.4,12.71,30.4,7,MOYENNE,OUI,2.3,OUI,OUI,NON,NORMALE,0
Souss-Massa,UNIVERSITE_PRIVEE,INFORMATIQUE,L3,10.91,10.69,12.8,3,ELEVEE,OUI,3.0,OUI,NON,OUI,REORIENTATION,0
Guelmim-Oued Noun,ECOLE_INGENIEUR,MEDECINE,L1,11.76,12.89,35.7,0,FAIBLE,OUI,2.2,OUI,OUI,NON,NORMALE,0
Casablanca-Settat,UNIVERSITE_PUBLIQUE,DROIT,L3,7.6,6.15,27.3,1,MOYENNE,OUI,5.7,OUI,NON,OUI,NORMALE,1
Tanger-Tétouan-Al Hoceïma,ECOLE_INGENIEUR,MEDECINE,L3,8.18,9.0,50.2,5,ELEVEE,OUI,7.7,OUI,NON,NON,NORMALE,1
Casablanca-Settat,UNIVERSITE_PUBLIQUE,ECONOMIE,L2,9.77,10.0,30.3,0,FAIBLE,NON,2.1,OUI,NON,NON,DIFFICULTE,1
Oriental,UNIVERSITE_PRIVEE,ECONOMIE,L1,10.96,13.01,27.4,3,FAIBLE,NON,7.1,OUI,OUI,NON,DIFFICULTE,1
Oriental,UNIVERSITE_PUBLIQUE,INGENIERIE,M1,12.39,14.43,7.2,3,FAIBLE,NON,4.1,NON,NON,NON,NORMALE,1
Laâyoune-Sakia El Hamra,FACULTE,SCIENCES,L1,11.2,8.43,10.0,6,MOYENNE,NON,5.7,OUI,OUI,NON,REORIENTATION,1
Dakhla-Oued Ed-Dahab,UNIVERSITE_PUBLIQUE,SCIENCES,L3,14.55,16.45,8.0,1,MOYENNE,NON,5.1,OUI,NON,NON,NORMALE,0
Dakhla-Oued Ed-Dahab,UNIVERSITE_PUBLIQUE,SCIENCES,L1,12.58,12.66,24.2,2,MOYENNE,NON,8.2,NON,NON,NON,REDOUBLEMENT,0
Drâa-Tafilalet,FACULTE,INGENIERIE,L3,10.83,11.5,25.1,4,FAIBLE,OUI,11.4,OUI,NON,NON,NORMALE,0
Oriental,UNIVERSITE_PUBLIQUE,MEDECINE,M1,9.64,8.44,28.2,7,MOYENNE,NON,7.0,OUI,NON,NON,DIFFICULTE,1
Guelmim-Oued Noun,UNIVERSITE_PUBLIQUE,DROIT,L3,8.91,9.91,41.1,0,MOYENNE,OUI,6.1,OUI,OUI,NON,DIFFICULTE,1
Dakhla-Oued Ed-Dahab,UNIVERSITE_PRIVEE,MEDECINE,L2,17.12,15.44,14.0,1,MOYENNE,OUI,18.5,OUI,OUI,OUI,NORMALE,0
Fès-Meknès,FACULTE,SCIENCES,M1,16.2,16.49,16.6,7,MOYENNE,NON,6.3,OUI,NON,NON,REORIENTATION,0
Fès-Meknès,UNIVERSITE_PRIVEE,DROIT,M2,11.79,12.55,24.0,4,ELEVEE,NON,7.6,OUI,NON,NON,NORMALE,1
Dakhla-Oued Ed-Dahab,UNIVERSITE_PRIVEE,INGENIERIE,L2,10.72,10.14,15.6,7,ELEVEE,OUI,0.2,OUI,OUI,NON,DIFFICULTE,0
Tanger-Tétouan-Al Hoceïma,UNIVERSITE_PRIVEE,ECONOMIE,M2,10.49,13.94,5.2,5,MOYENNE,NON,8.1,OUI,NON,NON,DIFFICULTE,0
Béni Mellal-Khénifra,IUT,SCIENCES,L1,10.0,10.39,5.1,6,MOYENNE,NON,36.3,OUI,OUI,NON,NORMALE,1
Casablanca-Settat,IUT,INFORMATIQUE,L3,8.02,7.36,6.9,7,MOYENNE,NON,2.2,NON,NON,NON,DIFFICULTE,1
Marrakech-Safi,UNIVERSITE_PUBLIQUE,DROIT,L3,9.28,5.91,7.8,1,MOYENNE,NON,9.6,OUI,NON,NON,NORMALE,1
Rabat-Salé-Kénitra,FACULTE,INGENIERIE,L1,14.85,15.79,16.2,5,ELEVEE,OUI,3.0,OUI,NON,OUI,NORMALE,0
Laâyoune-Sakia El Hamra,IUT,MEDECINE,L2,6.55,7.91,40.3,6,FAIBLE,NON,3.4,OUI,NON,NON,NORMALE,1
Dakhla-Oued Ed-Dahab,IUT,INGENIERIE,L3,12.44,10.19,11.4,4,ELEVEE,NON,3.9,OUI,OUI,OUI,NORMALE,0
Fès-Meknès,ECOLE_INGENIEUR,LETTRES,L2,7.27,8.38,44.8,6,ELEVEE,OUI,13.8,OUI,NON,NON,DIFFICULTE,0
Tanger-Tétouan-Al Hoceïma,FACULTE,INFORMATIQUE,M1,15.28,12.65,10.6,2,MOYENNE,NON,5.4,OUI,NON,NON,DIFFICULTE,0
Oriental,UNIVERSITE_PUBLIQUE,INGENIERIE,L1,12.54,12.44,21.0,4,MOYENNE,NON,23.2,OUI,NON,OUI,REDOUBLEMENT,0
Souss-Massa,IUT,INFORMATIQUE,L2,14.17,12.94,24.7,5,MOYENNE,NON,15.9,OUI,OUI,NON,NORMALE,1
Laâyoune-Sakia El Hamra,ECOLE_INGENIEUR,ECONOMIE,L3,10.39,13.34,28.6,0,FAIBLE,NON,0.4,OUI,NON,NON,REDOUBLEMENT,1
Casablanca-Settat,IUT,LETTRES,L2,6.1,7.68,18.0,1,ELEVEE,NON,6.7,OUI,NON,NON,REORIENTATION,0
Casablanca-Settat,ECOLE_INGENIEUR,DROIT,L1,6.4,6.0,31.3,5,MOYENNE,OUI,0.5,NON,OUI,NON,DIFFICULTE,1
Tanger-Tétouan-Al Hoceïma,UNIVERSITE_PUBLIQUE,LETTRES,L3,6.32,3.34,8.2,1,FAIBLE,NON,5.3,OUI,OUI,OUI,NORMALE,1
Souss-Massa,FACULTE,INFORMATIQUE,L2,11.22,12.93,18.1,1,MOYENNE,OUI,33.5,OUI,NON,OUI,NORMALE,0
Oriental,UNIVERSITE_PRIVEE,DROIT,L2,13.84,13.54,30.1,3,MOYENNE,OUI,0.9,OUI,OUI,OUI,NORMALE,0
Casablanca-Settat,UNIVERSITE_PRIVEE,MEDECINE,L3,11.23,9.36,20.0,2,MOYENNE,OUI,9.7,OUI,NON,OUI,NORMALE,1
Guelmim-Oued Noun,UNIVERSITE_PRIVEE,DROIT,M1,6.21,8.0,36.4,0,MOYENNE,OUI,1.3,OUI,NON,OUI,NORMALE,0
Béni Mellal-Khénifra,IUT,ECONOMIE,L2,8.98,6.77,48.1,5,FAIBLE,OUI,8.2,OUI,NON,NON,REDOUBLEMENT,1
Drâa-Tafilalet,UNIVERSITE_PUBLIQUE,ECONOMIE,L3,14.02,13.64,28.2,3,MOYENNE,NON,7.1,OUI,NON,NON,REORIENTATION,0
Rabat-Salé-Kénitra,ECOLE_INGENIEUR,INFORMATIQUE,L3,11.28,10.97,15.1,4,ELEVEE,OUI,12.1,OUI,NON,NON,NORMALE,0
Rabat-Salé-Kénitra,IUT,INGENIERIE,L1,12.62,10.55,14.3,1,MOYENNE,NON,9.5,OUI,NON,OUI,DIFFICULTE,0
Laâyoune-Sakia El Hamra,IUT,LETTRES,L1,12.73,11.7,12.5,4,MOYENNE,NON,8.3,OUI,OUI,NON,NORMALE,0
Dakhla-Oued Ed-Dahab,ECOLE_INGENIEUR,LETTRES,L3,10.21,11.01,37.6,4,ELEVEE,OUI,15.1,OUI,NON,NON,DIFFICULTE,1
Oriental,FACULTE,SCIENCES,L3,8.29,10.0,3.2,0,ELEVEE,NON,10.4,NON,NON,OUI,NORMALE,0
Marrakech-Safi,UNIVERSITE_PUBLIQUE,DROIT,L1,11.12,13.09,5.0,6,FAIBLE,NON,31.7,OUI,OUI,NON,REDOUBLEMENT,0
Casablanca-Settat,FACULTE,LETTRES,L1,10.67,12.66,14.1,2,MOYENNE,NON,0.2,OUI,NON,OUI,NORMALE,0
Rabat-Salé-Kénitra,UNIVERSITE_PRIVEE,DROIT,L1,8.15,10.68,17.3,2,FAIBLE,NON,13.2,OUI,NON,NON,NORMALE,0
Béni Mellal-Khénifra,ECOLE_INGENIEUR,ECONOMIE,L1,7.56,7.66,5.9,3,ELEVEE,OUI,3.0,OUI,OUI,NON,DIFFICULTE,1
Fès-Meknès,FACULTE,INFORMATIQUE,L2,18.49,16.79,15.1,3,FAIBLE,OUI,1.8,NON,NON,OUI,NORMALE,1
Oriental,IUT,INFORMATIQUE,L1,12.84,13.37,1.6,6,MOYENNE,NON,1.2,OUI,OUI,NON,REORIENTATION,1
Souss-Massa,FACULTE,SCIENCES,L1,12.22,12.49,6.1,3,FAIBLE,OUI,7.7,OUI,NON,NON,NORMALE,0
Marrakech-Safi,FACULTE,LETTRES,M1,6.13,7.46,12.5,3,MOYENNE,OUI,2.3,NON,OUI,OUI,NORMALE,1
Oriental,UNIVERSITE_PRIVEE,INGENIERIE,M1,8.43,7.97,16.3,5,MOYENNE,OUI,6.4,OUI,NON,NON,NORMALE,1
Dakhla-Oued Ed-Dahab,ECOLE_INGENIEUR,DROIT,L1,9.59,8.6,14.1,0,MOYENNE,OUI,6.2,NON,NON,NON,NORMALE,0
Oriental,FACULTE,INGENIERIE,L3,8.11,7.19,6.8,6,FAIBLE,OUI,5.5,OUI,NON,NON,REDOUBLEMENT,0
Marrakech-Safi,UNIVERSITE_PRIVEE,MEDECINE,L3,8.72,7.7,24.0,5,MOYENNE,NON,14.6,OUI,OUI,NON,NORMALE,1
Dakhla-Oued Ed-Dahab,IUT,ECONOMIE,L1,8.69,8.49,7.2,7,MOYENNE,OUI,8.4,OUI,OUI,NON,REORIENTATION,0
Laâyoune-Sakia El Hamra,IUT,DROIT,L3,12.05,10.27,15.0,2,ELEVEE,NON,14.4,NON,NON,NON,NORMALE,0
Guelmim-Oued Noun,IUT,SCIENCES,L1,11.23,12.29,12.5,4,MOYENNE,NON,1.8,OUI,OUI,NON,NORMALE,0
Souss-Massa,ECOLE_INGENIEUR,ECONOMIE,M2,14.83,14.12,22.5,1,MOYENNE,OUI,22.0,OUI,NON,OUI,DIFFICULTE,0
Guelmim-Oued Noun,IUT,LETTRES,L2,12.1,13.1,1.5,6,MOYENNE,OUI,13.9,OUI,NON,OUI,REDOUBLEMENT,1
Marrakech-Safi,FACULTE,MEDECINE,L1,11.28,11.55,18.5,2,FAIBLE,NON,2.1,OUI,NON,NON,NORMALE,0
Marrakech-Safi,ECOLE_INGENIEUR,INGENIERIE,L1,10.12,7.39,22.9,7,ELEVEE,NON,13.9,OUI,OUI,NON,NORMALE,1
Fès-Meknès,UNIVERSITE_PUBLIQUE,INGENIERIE,L3,5.61,4.16,34.4,7,ELEVEE,NON,5.2,OUI,NON,OUI,REDOUBLEMENT,1
Drâa-Tafilalet,IUT,INGENIERIE,L2,14.06,16.19,19.0,1,MOYENNE,NON,6.1,OUI,OUI,NON,NORMALE,1
Rabat-Salé-Kénitra,IUT,DROIT,M2,14.7,15.73,23.1,5,MOYENNE,OUI,26.0,OUI,NON,NON,DIFFICULTE,1
Oriental,UNIVERSITE_PUBLIQUE,ECONOMIE,L1,7.31,7.79,11.0,5,MOYENNE,NON,0.6,NON,NON,NON,NORMALE,1
Souss-Massa,UNIVERSITE_PRIVEE,SCIENCES,L1,13.0,11.97,19.9,3,MOYENNE,NON,3.9,OUI,NON,NON,DIFFICULTE,0
Dakhla-Oued Ed-Dahab,IUT,ECONOMIE,L2,11.59,9.93,34.3,0,ELEVEE,NON,7.9,OUI,NON,OUI,DIFFICULTE,1
Dakhla-Oued Ed-Dahab,IUT,ECONOMIE,M2,13.83,14.22,10.3,0,FAIBLE,OUI,29.4,OUI,NON,NON,DIFFICULTE,1
Tanger-Tétouan-Al Hoceïma,UNIVERSITE_PRIVEE,ECONOMIE,L3,9.86,9.63,23.8,4,ELEVEE,NON,50.2,OUI,NON,NON,NORMALE,1
Marrakech-Safi,UNIVERSITE_PUBLIQUE,SCIENCES,L1,14.55,15.75,14.5,5,MOYENNE,OUI,3.8,OUI,OUI,NON,NORMALE,0
Laâyoune-Sakia El Hamra,UNIVERSITE_PUBLIQUE,INGENIERIE,L2,9.34,9.75,8.8,7,ELEVEE,NON,8.1,OUI,OUI,OUI,NORMALE,1
Rabat-Salé-Kénitra,IUT,MEDECINE,L2,13.64,13.41,16.9,0,MOYENNE,OUI,37.4,OUI,OUI,NON,DIFFICULTE,0
Marrakech-Safi,UNIVERSITE_PUBLIQUE,ECONOMIE,L3,6.46,6.3,39.6,0,FAIBLE,OUI,3.5,OUI,NON,NON,DIFFICULTE,1
Béni Mellal-Khénifra,FACULTE,ECONOMIE,M2,12.28,9.35,10.5,3,MOYENNE,NON,3.2,OUI,OUI,NON,REDOUBLEMENT,0
Casablanca-Settat,ECOLE_INGENIEUR,ECONOMIE,M2,8.16,6.15,16.7,2,ELEVEE,OUI,3.9,OUI,OUI,NON,DIFFICULTE,1
Guelmim-Oued Noun,IUT,LETTRES,L3,12.32,15.61,15.8,2,MOYENNE,NON,8.3,OUI,NON,NON,NORMALE,0
Marrakech-Safi,UNIVERSITE_PRIVEE,LETTRES,L2,13.62,15.0,19.0,2,MOYENNE,NON,0.9,OUI,NON,NON,REDOUBLEMENT,0
Oriental,UNIVERSITE_PUBLIQUE,INFORMATIQUE,L3,9.76,10.29,11.6,3,MOYENNE,NON,17.9,NON,NON,NON,NORMALE,0
Casablanca-Settat,UNIVERSITE_PUBLIQUE,LETTRES,L3,10.11,12.56,15.2,1,FAIBLE,NON,28.6,OUI,OUI,NON,NORMALE,0
Fès-Meknès,UNIVERSITE_PRIVEE,DROIT,L2,7.53,10.51,38.0,2,FAIBLE,NON,10.8,OUI,NON,NON,NORMALE,1
Béni Mellal-Khénifra,IUT,DROIT,M2,13.58,16.9,19.3,0,MOYENNE,NON,11.0,NON,NON,NON,NORMALE,0
Tanger-Tétouan-Al Hoceïma,IUT,INGENIERIE,M1,5.54,5.27,8.6,5,MOYENNE,NON,7.4,OUI,NON,NON,DIFFICULTE,1
Béni Mellal-Khénifra,FACULTE,MEDECINE,L3,12.98,11.33,10.8,1,MOYENNE,NON,28.4,OUI,NON,NON,DIFFICULTE,0
Guelmim-Oued Noun,UNIVERSITE_PRIVEE,INFORMATIQUE,L1,13.41,13.67,7.2,2,ELEVEE,OUI,4.4,NON,OUI,NON,REORIENTATION,0
Guelmim-Oued Noun,IUT,LETTRES,L1,7.55,6.92,23.3,6,MOYENNE,OUI,7.3,OUI,NON,NON,REDOUBLEMENT,1
Guelmim-Oued Noun,ECOLE_INGENIEUR,INGENIERIE,M2,11.05,11.06,28.0,1,FAIBLE,NON,14.9,OUI,NON,NON,NORMALE,0
Laâyoune-Sakia El Hamra,ECOLE_INGENIEUR,DROIT,L1,9.86,11.94,4.8,2,FAIBLE,OUI,1.5,OUI,NON,NON,REORIENTATION,1
Casablanca-Settat,IUT,MEDECINE,M2,6.87,6.22,9.6,4,MOYENNE,OUI,1.4,OUI,OUI,NON,REDOUBLEMENT,1
Oriental,UNIVERSITE_PUBLIQUE,INGENIERIE,L2,12.94,11.4,46.2,4,MOYENNE,NON,20.6,NON,NON,NON,DIFFICULTE,1
Drâa-Tafilalet,UNIVERSITE_PUBLIQUE,MEDECINE,M2,16.41,15.3,44.6,4,FAIBLE,NON,15.9,OUI,OUI,NON,REORIENTATION,1
Casablanca-Settat,UNIVERSITE_PUBLIQUE,MEDECINE,M1,12.39,14.22,21.1,6,ELEVEE,NON,27.6,OUI,NON,NON,NORMALE,0
Marrakech-Safi,ECOLE_INGENIEUR,LETTRES,M2,12.41,11.14,9.0,1,MOYENNE,NON,7.1,OUI,OUI,NON,NORMALE,0
Marrakech-Safi,UNIVERSITE_PUBLIQUE,INGENIERIE,L3,5.22,5.49,3.0,2,MOYENNE,NON,16.8,NON,OUI,NON,NORMALE,1
Dakhla-Oued Ed-Dahab,ECOLE_INGENIEUR,ECONOMIE,M1,10.92,8.05,17.3,2,FAIBLE,NON,16.2,NON,NON,NON,NORMALE,1
Fès-Meknès,ECOLE_INGENIEUR,MEDECINE,L3,10.53,10.02,6.6,0,MOYENNE,NON,8.0,OUI,NON,NON,NORMALE,1
Souss-Massa,UNIVERSITE_PRIVEE,MEDECINE,L1,12.05,11.2,19.6,7,ELEVEE,NON,0.1,NON,OUI,NON,DIFFICULTE,1
Laâyoune-Sakia El Hamra,ECOLE_INGENIEUR,INFORMATIQUE,L3,10.62,9.9,8.3,3,ELEVEE,OUI,6.4,OUI,NON,NON,NORMALE,0
Dakhla-Oued Ed-Dahab,UNIVERSITE_PUBLIQUE,DROIT,M1,13.64,12.09,36.2,1,ELEVEE,NON,1.3,NON,OUI,NON,NORMALE,0
Béni Mellal-Khénifra,UNIVERSITE_PUBLIQUE,INGENIERIE,M2,16.5,16.79,2.5,6,FAIBLE,OUI,2.6,OUI,OUI,NON,NORMALE,0
Souss-Massa,FACULTE,INFORMATIQUE,L3,8.96,8.81,13.1,0,ELEVEE,NON,28.2,OUI,OUI,NON,REDOUBLEMENT,0
Fès-Meknès,UNIVERSITE_PUBLIQUE,ECONOMIE,L2,7.13,7.52,30.9,1,MOYENNE,NON,12.9,NON,NON,NON,NORMALE,1
Souss-Massa,UNIVERSITE_PRIVEE,SCIENCES,M1,19.21,19.3,13.4,6,ELEVEE,NON,0.9,NON,NON,NON,NORMALE,0
Marrakech-Safi,FACULTE,LETTRES,L2,9.76,10.47,23.1,7,MOYENNE,NON,10.4,OUI,NON,NON,DIFFICULTE,1
Tanger-Tétouan-Al Hoceïma,IUT,MEDECINE,M1,6.8,7.11,27.1,2,MOYENNE,OUI,13.0,NON,OUI,NON,NORMALE,1
Guelmim-Oued Noun,UNIVERSITE_PUBLIQUE,MEDECINE,M1,12.26,10.32,7.8,0,MOYENNE,NON,3.3,OUI,OUI,OUI,NORMALE,0
Fès-Meknès,ECOLE_INGENIEUR,MEDECINE,M1,13.98,14.41,7.3,7,ELEVEE,NON,2.1,OUI,NON,NON,REDOUBLEMENT,0
Casablanca-Settat,FACULTE,SCIENCES,L3,11.51,10.19,2.6,7,MOYENNE,NON,3.4,OUI,OUI,NON,NORMALE,0
Guelmim-Oued Noun,IUT,LETTRES,L2,12.18,15.0,15.6,5,MOYENNE,NON,3.3,OUI,OUI,NON,NORMALE,0
Casablanca-Settat,UNIVERSITE_PRIVEE,LETTRES,L1,10.26,11.0,28.1,0,MOYENNE,NON,2.1,OUI,NON,NON,DIFFICULTE,0
Souss-Massa,ECOLE_INGENIEUR,MEDECINE,M2,11.44,13.11,18.9,6,ELEVEE,OUI,2.1,OUI,NON,OUI,NORMALE,1
