secteur_activite,region,age_demandeur,statut_professionnel,revenu_mensuel_mad,charges_mensuelles_mad,montant_demande_mad,duree_credit_mois,anciennete_professionnelle_annees,credits_existants,incidents_paiement_24_mois,ratio_endettement,type_garantie,type_credit,defaut_paiement
INDUSTRIE,Rabat-Salé-Kénitra,72,FONCTIONNAIRE,4551,2496,28134,24,45,5,4,0.629,HYPOTHEQUE,CONSOMMATION,0
COMMERCE,Tanger-Tétouan-Al Hoceïma,73,INDEPENDANT,17190,8982,12165,12,45,4,2,0.586,CAUTION,CONSOMMATION,0
AGRICULTURE,Casablanca-Settat,26,FONCTIONNAIRE,9726,3065,35328,84,0,5,1,0.322,CAUTION,CONSOMMATION,0
COMMERCE,Marrakech-Safi,36,INDEPENDANT,10595,2456,32372,24,9,3,5,0.19,HYPOTHEQUE,PROFESSIONNEL,1
AGRICULTURE,Marrakech-Safi,63,FONCTIONNAIRE,8144,4456,19741,12,38,5,2,0.602,AUCUNE,PROFESSIONNEL,1
TECH,Rabat-Salé-Kénitra,42,SALARIE_CDI,10176,6500,8738,60,17,3,0,0.66,HYPOTHEQUE,PROFESSIONNEL,0
SERVICES,Dakhla-Oued Ed-Dahab,63,SALARIE_CDI,13755,2736,11281,24,36,4,1,0.16,HYPOTHEQUE,CONSOMMATION,0
INDUSTRIE,Guelmim-Oued Noun,46,SALARIE_CDI,9735,5028,126712,48,28,2,0,0.543,HYPOTHEQUE,PROFESSIONNEL,1
COMMERCE,Dakhla-Oued Ed-Dahab,46,FONCTIONNAIRE,16952,6914,37290,84,23,4,2,0.351,HYPOTHEQUE,CONSOMMATION,0
AGRICULTURE,Marrakech-Safi,19,RETRAITE,7969,2438,13288,36,0,2,0,0.319,AUCUNE,PROFESSIONNEL,0
INDUSTRIE,Fès-Meknès,56,INDEPENDANT,10610,1668,23826,60,29,2,0,0.172,HYPOTHEQUE,CONSOMMATION,0
SERVICES,Fès-Meknès,72,INDEPENDANT,11123,5695,36574,84,45,4,2,0.536,HYPOTHEQUE,CONSOMMATION,0
COMMERCE,Oriental,69,FONCTIONNAIRE,5327,1151,49721,84,45,0,0,0.277,HYPOTHEQUE,IMMOBILIER,0
SERVICES,Marrakech-Safi,39,INDEPENDANT,8260,4753,30845,36,16,2,4,0.551,CAUTION,CONSOMMATION,1
TECH,Marrakech-Safi,60,INDEPENDANT,3538,999,149470,36,39,5,0,0.25,CAUTION,PROFESSIONNEL,0
COMMERCE,Dakhla-Oued Ed-Dahab,30,SALARIE_CDI,7643,3410,154485,24,4,1,0,0.448,CAUTION,CONSOMMATION,1
TECH,Tanger-Tétouan-Al Hoceïma,57,SALARIE_CDD,7147,2088,47481,24,37,3,0,0.333,AUCUNE,PROFESSIONNEL,1
TECH,Guelmim-Oued Noun,43,SALARIE_CDD,6957,3486,28103,24,18,5,2,0.491,HYPOTHEQUE,AUTO,0
COMMERCE,Marrakech-Safi,76,SALARIE_CDI,6745,1407,47468,120,45,5,0,0.128,HYPOTHEQUE,IMMOBILIER,0
COMMERCE,Dakhla-Oued Ed-Dahab,62,SALARIE_CDI,10203,3280,14325,120,39,5,0,0.308,AUCUNE,IMMOBILIER,0
TECH,Drâa-Tafilalet,22,SALARIE_CDI,5439,2200,73104,84,0,1,2,0.412,AUCUNE,PROFESSIONNEL,0
TECH,Laâyoune-Sakia El Hamra,72,SALARIE_CDI,18713,8285,40954,24,45,4,0,0.404,CAUTION,IMMOBILIER,0
TECH,Oriental,63,SALARIE_CDI,10461,4601,15601,60,44,4,4,0.322,NANTISSEMENT,IMMOBILIER,0
SERVICES,Laâyoune-Sakia El Hamra,31,INDEPENDANT,5646,1071,24125,36,4,3,0,0.205,AUCUNE,IMMOBILIER,1
COMMERCE,Tanger-Tétouan-Al Hoceïma,35,SALARIE_CDI,10843,1810,54253,24,8,4,0,0.102,AUCUNE,CONSOMMATION,0
SERVICES,Souss-Massa,28,INDEPENDANT,12679,3406,11320,24,6,2,2,0.317,AUCUNE,CONSOMMATION,1
TECH,Casablanca-Settat,37,SALARIE_CDI,9567,1615,19429,120,16,4,3,0.284,CAUTION,CONSOMMATION,0
COMMERCE,Marrakech-Safi,77,RETRAITE,5153,1341,26210,60,45,4,1,0.216,CAUTION,IMMOBILIER,0
INDUSTRIE,Guelmim-Oued Noun,74,INDEPENDANT,22176,3983,71873,60,45,5,0,0.197,NANTISSEMENT,CONSOMMATION,0
SERVICES,Fès-Meknès,52,INDEPENDANT,10805,4470,120578,24,34,4,2,0.429,NANTISSEMENT,AUTO,1
INDUSTRIE,Rabat-Salé-Kénitra,40,FONCTIONNAIRE,4622,935,47340,120,19,3,0,0.126,AUCUNE,CONSOMMATION,1
COMMERCE,Fès-Meknès,41,FONCTIONNAIRE,8903,3184,5000,24,23,3,0,0.236,AUCUNE,PROFESSIONNEL,1
SERVICES,Tanger-Tétouan-Al Hoceïma,78,SALARIE_CDD,7338,3924,16618,24,45,3,2,0.467,AUCUNE,PROFESSIONNEL,0
SERVICES,Drâa-Tafilalet,30,SALARIE_CDD,8127,4358,419556,60,11,2,0,0.521,HYPOTHEQUE,AUTO,1
AGRICULTURE,Rabat-Salé-Kénitra,65,INDEPENDANT,4735,2041,40546,120,38,5,2,0.553,CAUTION,CONSOMMATION,1
TECH,Casablanca-Settat,80,SALARIE_CDI,8304,1373,5858,84,45,0,1,0.194,CAUTION,PROFESSIONNEL,0
SERVICES,Drâa-Tafilalet,71,SALARIE_CDI,5574,2332,191174,120,45,5,2,0.374,AUCUNE,IMMOBILIER,0
INDUSTRIE,Rabat-Salé-Kénitra,63,INDEPENDANT,6924,1913,14254,60,38,3,0,0.232,HYPOTHEQUE,CONSOMMATION,0
AGRICULTURE,Souss-Massa,74,SALARIE_CDI,9646,4188,54254,24,45,1,1,0.4,CAUTION,IMMOBILIER,1
COMMERCE,Drâa-Tafilalet,31,INDEPENDANT,6539,3951,16278,48,4,3,1,0.51,AUCUNE,IMMOBILIER,1
COMMERCE,Oriental,79,SALARIE_CDI,7110,3195,169655,48,45,0,0,0.405,AUCUNE,CONSOMMATION,0
INDUSTRIE,Rabat-Salé-Kénitra,23,SALARIE_CDD,11721,7270,13469,120,2,3,0,0.643,CAUTION,PROFESSIONNEL,0
INDUSTRIE,Drâa-Tafilalet,18,SALARIE_CDI,5432,1381,24108,36,0,5,3,0.243,HYPOTHEQUE,CONSOMMATION,1
SERVICES,Casablanca-Settat,30,SALARIE_CDD,6052,1720,75682,24,11,0,0,0.264,AUCUNE,IMMOBILIER,0
TECH,Marrakech-Safi,56,INDEPENDANT,4607,1034,24657,36,30,2,0,0.266,CAUTION,IMMOBILIER,1
SERVICES,Rabat-Salé-Kénitra,33,INDEPENDANT,5595,1058,51044,48,15,3,0,0.133,NANTISSEMENT,CONSOMMATION,1
SERVICES,Oriental,57,SALARIE_CDI,8588,1333,64957,60,34,3,3,0.177,CAUTION,CONSOMMATION,0
TECH,Drâa-Tafilalet,24,SALARIE_CDI,10805,6634,41109,24,2,4,4,0.557,HYPOTHEQUE,IMMOBILIER,0
AGRICULTURE,Béni Mellal-Khénifra,61,INDEPENDANT,5638,2119,16685,84,40,4,3,0.417,CAUTION,CONSOMMATION,1
TECH,Rabat-Salé-Kénitra,32,SALARIE_CDI,10662,6604,20933,48,5,3,2,0.623,CAUTION,CONSOMMATION,1
COMMERCE,Tanger-Tétouan-Al Hoceïma,50,SALARIE_CDI,8496,4945,27767,48,28,5,0,0.59,HYPOTHEQUE,AUTO,0
COMMERCE,Rabat-Salé-Kénitra,25,SALARIE_CDD,4350,2271,54784,48,7,2,1,0.515,AUCUNE,IMMOBILIER,0
INDUSTRIE,Tanger-Tétouan-Al Hoceïma,79,INDEPENDANT,8765,5337,64099,120,45,1,1,0.636,NANTISSEMENT,PROFESSIONNEL,1
INDUSTRIE,Marrakech-Safi,41,SALARIE_CDI,13870,3911,41923,84,14,5,0,0.239,HYPOTHEQUE,IMMOBILIER,0
COMMERCE,Drâa-Tafilalet,56,SALARIE_CDI,3458,1999,59368,48,35,4,2,0.629,AUCUNE,CONSOMMATION,1
INDUSTRIE,Guelmim-Oued Noun,48,RETRAITE,19977,9789,11919,48,28,3,5,0.477,AUCUNE,IMMOBILIER,1
COMMERCE,Guelmim-Oued Noun,55,RETRAITE,6157,2769,44730,24,30,2,4,0.474,HYPOTHEQUE,CONSOMMATION,1
AGRICULTURE,Marrakech-Safi,46,FONCTIONNAIRE,3858,1772,34703,24,28,4,0,0.492,HYPOTHEQUE,CONSOMMATION,0
AGRICULTURE,Casablanca-Settat,22,FONCTIONNAIRE,8624,5201,51362,120,0,0,0,0.565,AUCUNE,CONSOMMATION,1
SERVICES,Casablanca-Settat,70,RETRAITE,11778,7237,61488,120,45,1,0,0.639,HYPOTHEQUE,IMMOBILIER,1
INDUSTRIE,Laâyoune-Sakia El Hamra,58,FONCTIONNAIRE,7142,1703,17400,24,38,5,0,0.201,AUCUNE,CONSOMMATION,1
SERVICES,Laâyoune-Sakia El Hamra,34,INDEPENDANT,9323,1775,33624,24,16,1,1,0.111,NANTISSEMENT,CONSOMMATION,0
INDUSTRIE,Marrakech-Safi,23,SALARIE_CDD,21034,6022,92423,84,0,0,1,0.296,CAUTION,IMMOBILIER,0
INDUSTRIE,Laâyoune-Sakia El Hamra,73,SALARIE_CDI,8889,4934,44926,24,45,5,0,0.663,HYPOTHEQUE,IMMOBILIER,1
SERVICES,Oriental,38,INDEPENDANT,31012,6157,33854,60,16,2,1,0.166,CAUTION,IMMOBILIER,0
TECH,Marrakech-Safi,75,FONCTIONNAIRE,14315,6884,15483,120,45,5,0,0.506,NANTISSEMENT,AUTO,0
COMMERCE,Fès-Meknès,66,SALARIE_CDI,8293,2899,53103,120,45,0,5,0.391,AUCUNE,AUTO,0
AGRICULTURE,Fès-Meknès,78,FONCTIONNAIRE,9239,5600,13723,60,45,0,0,0.548,CAUTION,PROFESSIONNEL,1
SERVICES,Guelmim-Oued Noun,59,INDEPENDANT,7018,3930,32052,12,33,3,0,0.529,HYPOTHEQUE,IMMOBILIER,1
SERVICES,Marrakech-Safi,29,SALARIE_CDI,9066,3662,25749,120,11,5,2,0.466,CAUTION,CONSOMMATION,1
INDUSTRIE,Marrakech-Safi,20,INDEPENDANT,10433,3551,47830,24,0,2,2,0.373,HYPOTHEQUE,IMMOBILIER,0
SERVICES,Drâa-Tafilalet,33,SALARIE_CDI,6756,3833,23883,36,10,4,0,0.571,AUCUNE,PROFESSIONNEL,1
SERVICES,Fès-Meknès,45,FONCTIONNAIRE,4355,1185,28856,24,21,0,0,0.193,CAUTION,CONSOMMATION,0
AGRICULTURE,Fès-Meknès,57,RETRAITE,14685,6192,19197,12,35,1,1,0.393,AUCUNE,IMMOBILIER,0
SERVICES,Guelmim-Oued Noun,74,INDEPENDANT,12557,7733,30519,24,45,3,1,0.642,CAUTION,IMMOBILIER,0
SERVICES,Dakhla-Oued Ed-Dahab,26,INDEPENDANT,4283,1935,42206,48,6,1,3,0.295,AUCUNE,PROFESSIONNEL,0
COMMERCE,Oriental,58,FONCTIONNAIRE,8751,5382,28476,12,35,1,0,0.656,HYPOTHEQUE,CONSOMMATION,0
COMMERCE,Guelmim-Oued Noun,23,SALARIE_CDD,12864,4773,29160,24,0,3,2,0.428,CAUTION,PROFESSIONNEL,0
COMMERCE,Laâyoune-Sakia El Hamra,48,FONCTIONNAIRE,12279,5705,40748,24,27,1,0,0.555,AUCUNE,CONSOMMATION,0
INDUSTRIE,Béni Mellal-Khénifra,22,SALARIE_CDI,5930,3678,73187,84,2,0,0,0.684,CAUTION,IMMOBILIER,1
TECH,Guelmim-Oued Noun,41,FONCTIONNAIRE,12606,6538,61159,60,18,1,1,0.539,AUCUNE,CONSOMMATION,1
SERVICES,Casablanca-Settat,56,FONCTIONNAIRE,8158,4918,14682,24,36,4,2,0.642,AUCUNE,IMMOBILIER,1
INDUSTRIE,Casablanca-Settat,64,FONCTIONNAIRE,9652,5463,62142,120,42,3,0,0.548,NANTISSEMENT,IMMOBILIER,0
COMMERCE,Laâyoune-Sakia El Hamra,68,SALARIE_CDD,5357,1012,94608,12,41,4,0,0.161,AUCUNE,PROFESSIONNEL,1
TECH,Rabat-Salé-Kénitra,51,SALARIE_CDD,2500,698,59515,24,26,0,1,0.301,AUCUNE,IMMOBILIER,1
INDUSTRIE,Drâa-Tafilalet,34,SALARIE_CDI,5711,2974,6705,48,9,3,1,0.48,CAUTION,IMMOBILIER,0
COMMERCE,Souss-Massa,75,SALARIE_CDI,10316,6138,43710,120,45,5,4,0.574,HYPOTHEQUE,PROFESSIONNEL,0
SERVICES,Guelmim-Oued Noun,76,SALARIE_CDD,7388,4072,95649,24,45,4,0,0.661,AUCUNE,IMMOBILIER,1
SERVICES,Béni Mellal-Khénifra,78,SALARIE_CDI,10857,3329,26528,120,45,3,1,0.27,AUCUNE,PROFESSIONNEL,1
SERVICES,Casablanca-Settat,67,INDEPENDANT,13330,6139,276538,24,44,4,3,0.472,AUCUNE,PROFESSIONNEL,1
TECH,Tanger-Tétouan-Al Hoceïma,67,SALARIE_CDI,6983,3357,7894,60,45,0,0,0.4,AUCUNE,IMMOBILIER,1
INDUSTRIE,Drâa-Tafilalet,22,INDEPENDANT,6681,2463,40227,36,0,3,0,0.328,AUCUNE,PROFESSIONNEL,0
TECH,Dakhla-Oued Ed-Dahab,54,SALARIE_CDI,3029,1344,60257,60,33,0,1,0.403,HYPOTHEQUE,CONSOMMATION,1
SERVICES,Guelmim-Oued Noun,43,INDEPENDANT,4038,2596,40964,36,22,2,1,0.637,HYPOTHEQUE,AUTO,1
TECH,Laâyoune-Sakia El Hamra,34,INDEPENDANT,4434,1873,40449,24,8,1,3,0.378,CAUTION,CONSOMMATION,1
TECH,Dakhla-Oued Ed-Dahab,22,RETRAITE,10410,2573,17534,48,3,3,0,0.233,CAUTION,CONSOMMATION,1
SERVICES,Laâyoune-Sakia El Hamra,31,INDEPENDANT,7015,2820,24277,36,7,4,0,0.376,HYPOTHEQUE,IMMOBILIER,0
SERVICES,Oriental,75,INDEPENDANT,6372,1516,54261,60,45,5,0,0.228,AUCUNE,CONSOMMATION,0
SERVICES,Tanger-Tétouan-Al Hoceïma,75,SALARIE_CDI,6052,2990,8270,48,45,5,1,0.411,HYPOTHEQUE,PROFESSIONNEL,0
TECH,Oriental,64,FONCTIONNAIRE,5707,3430,68441,48,40,0,0,0.523,HYPOTHEQUE,PROFESSIONNEL,0
SERVICES,Guelmim-Oued Noun,24,SALARIE_CDI,12278,5991,33529,24,5,0,1,0.526,AUCUNE,AUTO,1
COMMERCE,Souss-Massa,61,INDEPENDANT,8451,4976,53455,60,38,1,0,0.56,HYPOTHEQUE,CONSOMMATION,1
INDUSTRIE,Guelmim-Oued Noun,25,INDEPENDANT,12659,6505,65675,84,4,4,0,0.523,NANTISSEMENT,CONSOMMATION,1
TECH,Drâa-Tafilalet,61,SALARIE_CDI,3020,1114,494440,12,37,3,0,0.388,AUCUNE,CONSOMMATION,1
COMMERCE,Marrakech-Safi,20,FONCTIONNAIRE,10298,4316,96674,24,0,3,1,0.422,AUCUNE,CONSOMMATION,1
COMMERCE,Dakhla-Oued Ed-Dahab,35,SALARIE_CDI,6518,2713,15659,12,8,5,0,0.348,AUCUNE,CONSOMMATION,0
AGRICULTURE,Laâyoune-Sakia El Hamra,25,FONCTIONNAIRE,7139,2472,164917,24,7,2,0,0.243,AUCUNE,AUTO,1
SERVICES,Béni Mellal-Khénifra,76,FONCTIONNAIRE,14895,2926,5435,120,45,2,1,0.175,HYPOTHEQUE,IMMOBILIER,0
TECH,Marrakech-Safi,53,FONCTIONNAIRE,6799,3406,26619,12,28,4,4,0.502,AUCUNE,CONSOMMATION,1
SERVICES,Marrakech-Safi,76,INDEPENDANT,10111,1755,41008,24,45,2,3,0.243,CAUTION,IMMOBILIER,0
COMMERCE,Laâyoune-Sakia El Hamra,19,SALARIE_CDI,5125,1292,28946,12,0,1,3,0.35,NANTISSEMENT,IMMOBILIER,1
AGRICULTURE,Casablanca-Settat,64,INDEPENDANT,8236,3104,44233,84,45,5,2,0.394,NANTISSEMENT,PROFESSIONNEL,0
COMMERCE,Souss-Massa,48,FONCTIONNAIRE,3960,2548,32269,60,30,5,2,0.638,HYPOTHEQUE,CONSOMMATION,1
COMMERCE,Béni Mellal-Khénifra,47,SALARIE_CDI,7897,2396,89262,12,29,1,1,0.298,AUCUNE,PROFESSIONNEL,0
SERVICES,Marrakech-Safi,73,SALARIE_CDD,9638,5275,25911,24,45,0,0,0.544,CAUTION,AUTO,0
INDUSTRIE,Laâyoune-Sakia El Hamra,20,SALARIE_CDI,13331,4796,33492,60,0,1,0,0.324,CAUTION,AUTO,0
INDUSTRIE,Oriental,77,FONCTIONNAIRE,5608,1462,125499,84,45,2,2,0.327,AUCUNE,PROFESSIONNEL,0
COMMERCE,Casablanca-Settat,19,INDEPENDANT,6387,1043,71517,60,1,2,1,0.141,HYPOTHEQUE,CONSOMMATION,0
COMMERCE,Fès-Meknès,40,SALARIE_CDI,6064,1178,32244,48,13,5,2,0.21,AUCUNE,CONSOMMATION,0
INDUSTRIE,Tanger-Tétouan-Al Hoceïma,26,SALARIE_CDI,7228,2590,50545,48,2,3,4,0.374,CAUTION,PROFESSIONNEL,1
INDUSTRIE,Marrakech-Safi,50,SALARIE_CDD,5251,1838,134707,84,27,4,0,0.232,CAUTION,CONSOMMATION,1
SERVICES,Dakhla-Oued Ed-Dahab,55,SALARIE_CDI,3069,1421,13778,36,33,0,3,0.411,AUCUNE,PROFESSIONNEL,0
INDUSTRIE,Tanger-Tétouan-Al Hoceïma,58,SALARIE_CDI,5068,918,16963,120,38,0,0,0.197,AUCUNE,IMMOBILIER,0
SERVICES,Oriental,68,FONCTIONNAIRE,7927,2314,24289,120,45,2,0,0.353,HYPOTHEQUE,PROFESSIONNEL,1
TECH,Oriental,65,SALARIE_CDD,7581,1226,42279,120,38,0,0,0.171,AUCUNE,PROFESSIONNEL,0
COMMERCE,Marrakech-Safi,77,INDEPENDANT,10388,6087,71530,60,45,3,3,0.619,HYPOTHEQUE,CONSOMMATION,1
SERVICES,Oriental,46,SALARIE_CDD,11837,4128,21260,36,22,1,4,0.293,NANTISSEMENT,IMMOBILIER,1
COMMERCE,Tanger-Tétouan-Al Hoceïma,29,FONCTIONNAIRE,6619,2927,18786,60,8,0,0,0.444,AUCUNE,CONSOMMATION,0
TECH,Casablanca-Settat,27,SALARIE_CDD,3970,2006,14499,48,6,0,1,0.446,AUCUNE,CONSOMMATION,1
SERVICES,Tanger-Tétouan-Al Hoceïma,35,SALARIE_CDI,9715,2759,18778,120,17,2,0,0.323,HYPOTHEQUE,IMMOBILIER,0
SERVICES,Béni Mellal-Khénifra,55,SALARIE_CDD,8067,1754,22948,120,35,1,3,0.22,HYPOTHEQUE,IMMOBILIER,1
SERVICES,Rabat-Salé-Kénitra,21,INDEPENDANT,7213,3175,7987,12,1,1,2,0.527,AUCUNE,CONSOMMATION,1
SERVICES,Guelmim-Oued Noun,78,RETRAITE,14033,8443,24516,84,45,1,0,0.601,CAUTION,CONSOMMATION,0
TECH,Béni Mellal-Khénifra,80,SALARIE_CDI,9924,5918,17419,84,45,0,0,0.517,AUCUNE,CONSOMMATION,0
AGRICULTURE,Fès-Meknès,28,FONCTIONNAIRE,8564,2604,32379,60,4,0,0,0.32,AUCUNE,AUTO,0
SERVICES,Béni Mellal-Khénifra,67,FONCTIONNAIRE,8723,2469,119210,120,40,5,3,0.26,CAUTION,PROFESSIONNEL,0
TECH,Fès-Meknès,55,SALARIE_CDI,11877,3881,11903,12,32,0,1,0.374,CAUTION,CONSOMMATION,0
SERVICES,Béni Mellal-Khénifra,48,INDEPENDANT,5941,1620,73847,120,28,2,0,0.236,HYPOTHEQUE,PROFESSIONNEL,1
COMMERCE,Rabat-Salé-Kénitra,64,SALARIE_CDI,5453,3448,116703,12,41,1,1,0.695,AUCUNE,PROFESSIONNEL,0
TECH,Béni Mellal-Khénifra,54,INDEPENDANT,7293,1220,71354,24,31,2,0,0.098,NANTISSEMENT,CONSOMMATION,1
INDUSTRIE,Casablanca-Settat,38,FONCTIONNAIRE,4769,1172,46151,60,18,4,1,0.316,AUCUNE,CONSOMMATION,1
SERVICES,Casablanca-Settat,53,SALARIE_CDI,7939,1303,91107,84,30,3,1,0.096,HYPOTHEQUE,CONSOMMATION,0
COMMERCE,Fès-Meknès,26,INDEPENDANT,8464,4884,56558,120,0,4,1,0.538,NANTISSEMENT,PROFESSIONNEL,1
AGRICULTURE,Marrakech-Safi,34,SALARIE_CDI,7856,3030,79022,12,7,0,0,0.42,CAUTION,IMMOBILIER,0
SERVICES,Souss-Massa,79,INDEPENDANT,6887,1818,39461,84,45,3,3,0.371,HYPOTHEQUE,PROFESSIONNEL,0
SERVICES,Rabat-Salé-Kénitra,29,INDEPENDANT,17049,5928,17288,60,5,3,3,0.352,HYPOTHEQUE,CONSOMMATION,1
SERVICES,Marrakech-Safi,55,FONCTIONNAIRE,12373,2512,82012,36,31,0,0,0.133,AUCUNE,CONSOMMATION,0
COMMERCE,Rabat-Salé-Kénitra,36,SALARIE_CDI,7757,1581,225650,60,10,1,1,0.087,CAUTION,IMMOBILIER,0
COMMERCE,Laâyoune-Sakia El Hamra,47,SALARIE_CDD,8450,5268,28616,36,26,3,0,0.671,NANTISSEMENT,PROFESSIONNEL,1
TECH,Drâa-Tafilalet,33,FONCTIONNAIRE,15053,7497,36894,48,14,3,0,0.58,CAUTION,CONSOMMATION,1
TECH,Marrakech-Safi,53,FONCTIONNAIRE,6229,2924,39277,24,35,1,0,0.524,HYPOTHEQUE,PROFESSIONNEL,0
AGRICULTURE,Rabat-Salé-Kénitra,53,FONCTIONNAIRE,5247,2027,12987,36,31,0,0,0.395,NANTISSEMENT,PROFESSIONNEL,0
TECH,Laâyoune-Sakia El Hamra,56,SALARIE_CDD,8974,3544,20055,60,37,0,1,0.357,AUCUNE,CONSOMMATION,0
SERVICES,Drâa-Tafilalet,37,INDEPENDANT,9762,5233,44944,24,12,4,0,0.562,AUCUNE,PROFESSIONNEL,0
COMMERCE,Laâyoune-Sakia El Hamra,54,INDEPENDANT,10095,1779,34006,84,34,0,0,0.194,CAUTION,CONSOMMATION,0
INDUSTRIE,Marrakech-Safi,63,FONCTIONNAIRE,11760,5689,36743,36,45,5,1,0.583,NANTISSEMENT,CONSOMMATION,0
INDUSTRIE,Tanger-Tétouan-Al Hoceïma,63,SALARIE_CDI,5827,2478,36996,120,42,0,0,0.451,NANTISSEMENT,AUTO,0
AGRICULTURE,Rabat-Salé-Kénitra,53,SALARIE_CDD,4299,1304,33478,12,31,5,5,0.348,HYPOTHEQUE,CONSOMMATION,1
COMMERCE,Souss-Massa,36,SALARIE_CDD,6229,1606,21248,36,13,3,1,0.252,NANTISSEMENT,CONSOMMATION,0
AGRICULTURE,Rabat-Salé-Kénitra,51,INDEPENDANT,10528,6115,49239,36,24,5,1,0.531,CAUTION,CONSOMMATION,1
INDUSTRIE,Casablanca-Settat,51,INDEPENDANT,5352,3296,45705,48,28,2,0,0.614,CAUTION,IMMOBILIER,0
COMMERCE,Oriental,77,INDEPENDANT,3394,672,19611,48,45,3,0,0.077,HYPOTHEQUE,AUTO,0
COMMERCE,Dakhla-Oued Ed-Dahab,41,SALARIE_CDI,8647,2031,48548,12,16,2,3,0.234,AUCUNE,CONSOMMATION,0
SERVICES,Béni Mellal-Khénifra,38,INDEPENDANT,6278,3036,23473,48,19,0,0,0.499,AUCUNE,PROFESSIONNEL,0
SERVICES,Guelmim-Oued Noun,65,INDEPENDANT,3725,2000,57363,48,45,4,2,0.509,CAUTION,CONSOMMATION,1
COMMERCE,Guelmim-Oued Noun,58,SALARIE_CDI,8379,3315,35235,60,36,0,0,0.413,CAUTION,PROFESSIONNEL,0
SERVICES,Dakhla-Oued Ed-Dahab,44,SALARIE_CDI,6810,4178,47855,48,23,2,1,0.667,CAUTION,PROFESSIONNEL,1
AGRICULTURE,Rabat-Salé-Kénitra,18,SALARIE_CDI,17226,10103,41077,84,0,0,0,0.593,HYPOTHEQUE,PROFESSIONNEL,1
SERVICES,Fès-Meknès,62,FONCTIONNAIRE,8434,1798,34912,84,42,3,0,0.208,HYPOTHEQUE,CONSOMMATION,0
SERVICES,Béni Mellal-Khénifra,64,SALARIE_CDD,10548,2333,45659,12,45,5,5,0.201,HYPOTHEQUE,CONSOMMATION,1
TECH,Guelmim-Oued Noun,76,SALARIE_CDI,8041,1551,65479,60,45,1,5,0.18,NANTISSEMENT,CONSOMMATION,0
SERVICES,Guelmim-Oued Noun,49,FONCTIONNAIRE,6193,3640,39512,84,28,4,0,0.686,AUCUNE,IMMOBILIER,1
AGRICULTURE,Drâa-Tafilalet,50,INDEPENDANT,6507,2790,39065,48,27,1,3,0.389,HYPOTHEQUE,CONSOMMATION,1
TECH,Fès-Meknès,31,INDEPENDANT,13180,8181,28347,36,12,1,0,0.589,AUCUNE,CONSOMMATION,0
SERVICES,Tanger-Tétouan-Al Hoceïma,46,INDEPENDANT,11345,5838,10167,48,22,5,1,0.562,HYPOTHEQUE,CONSOMMATION,0
COMMERCE,Casablanca-Settat,18,INDEPENDANT,4147,2140,37184,24,0,1,2,0.477,HYPOTHEQUE,PROFESSIONNEL,1
COMMERCE,Fès-Meknès,49,FONCTIONNAIRE,4620,982,14967,48,27,3,0,0.256,AUCUNE,PROFESSIONNEL,1
TECH,Rabat-Salé-Kénitra,62,INDEPENDANT,4737,970,24437,24,39,0,1,0.158,AUCUNE,IMMOBILIER,0
TECH,Dakhla-Oued Ed-Dahab,67,SALARIE_CDD,13057,8036,19807,36,45,0,1,0.615,CAUTION,PROFESSIONNEL,1
TECH,Rabat-Salé-Kénitra,59,INDEPENDANT,3718,1455,21976,84,40,5,0,0.438,AUCUNE,CONSOMMATION,0
COMMERCE,Tanger-Tétouan-Al Hoceïma,68,INDEPENDANT,11544,7469,22957,120,45,2,2,0.586,NANTISSEMENT,CONSOMMATION,0
INDUSTRIE,Laâyoune-Sakia El Hamra,59,FONCTIONNAIRE,9694,3020,51015,48,37,1,1,0.348,AUCUNE,CONSOMMATION,1
COMMERCE,Dakhla-Oued Ed-Dahab,67,SALARIE_CDD,8657,3988,45840,120,45,5,2,0.506,NANTISSEMENT,CONSOMMATION,1
AGRICULTURE,Tanger-Tétouan-Al Hoceïma,45,SALARIE_CDI,6550,2858,39249,24,27,5,0,0.423,HYPOTHEQUE,CONSOMMATION,1
COMMERCE,Souss-Massa,55,SALARIE_CDI,13834,2546,84678,24,33,1,0,0.248,CAUTION,IMMOBILIER,0
COMMERCE,Oriental,58,SALARIE_CDI,8528,3492,308952,120,32,4,1,0.401,AUCUNE,CONSOMMATION,1
INDUSTRIE,Guelmim-Oued Noun,54,SALARIE_CDI,4231,2590,51804,60,28,1,2,0.607,AUCUNE,IMMOBILIER,1
TECH,Guelmim-Oued Noun,53,SALARIE_CDD,4698,1771,68572,60,29,4,2,0.413,CAUTION,IMMOBILIER,0
AGRICULTURE,Oriental,67,SALARIE_CDI,3866,1493,44189,36,42,1,0,0.448,NANTISSEMENT,CONSOMMATION,0
SERVICES,Tanger-Tétouan-Al Hoceïma,33,INDEPENDANT,13907,6959,57157,60,10,3,2,0.359,NANTISSEMENT,AUTO,0
SERVICES,Tanger-Tétouan-Al Hoceïma,37,FONCTIONNAIRE,15381,8311,11649,120,16,5,3,0.436,CAUTION,CONSOMMATION,0
COMMERCE,Béni Mellal-Khénifra,50,INDEPENDANT,13211,7451,5469,24,25,1,1,0.5,CAUTION,CONSOMMATION,1
COMMERCE,Laâyoune-Sakia El Hamra,58,SALARIE_CDD,7598,2857,8268,84,32,1,0,0.407,NANTISSEMENT,PROFESSIONNEL,0
